active,attribute_id,category_id
TRUE,3,9000020
TRUE,3,9000021
TRUE,3,9000022
TRUE,3,9000023
TRUE,3,9000024
TRUE,3,9000025
TRUE,3,9000026
TRUE,3,9000027
TRUE,3,9000028
TRUE,3,9000029
TRUE,3,9000030
TRUE,3,9000031
TRUE,3,9000032
TRUE,3,9000033
TRUE,3,9000034
TRUE,3,9000035
TRUE,3,9000036
TRUE,3,9000037
TRUE,3,9000038
TRUE,3,9000039
TRUE,3,9000040
TRUE,3,9000041
TRUE,3,9000042
TRUE,3,9000043
TRUE,3,9000044
TRUE,3,9000045
TRUE,3,9000046
TRUE,3,9000047
TRUE,3,9000048
TRUE,3,9000285
TRUE,3,9000286
TRUE,3,9000289
TRUE,3,9000290
TRUE,3,9000291
TRUE,3,9000292
TRUE,3,9000293
TRUE,3,9000294
TRUE,3,9000295
TRUE,3,9000296
TRUE,3,9000297
TRUE,3,9000298
TRUE,3,9000299
TRUE,4,2000027
TRUE,4,2000033
TRUE,4,2000035
TRUE,4,2000097
TRUE,4,4000031
TRUE,4,4000038
TRUE,4,4000051
TRUE,4,4000082
TRUE,4,4000107
TRUE,4,4000117
TRUE,4,4000125
TRUE,4,4000127
TRUE,4,4000238
TRUE,4,4000248
TRUE,4,4000254
TRUE,4,4000255
TRUE,4,4000279
TRUE,4,4000281
TRUE,4,4000396
TRUE,4,4000458
TRUE,4,4000661
TRUE,4,4000665
TRUE,4,4000689
TRUE,4,4000709
TRUE,4,4000718
TRUE,4,4000719
TRUE,4,4000725
TRUE,4,4000756
TRUE,4,5000070
TRUE,4,7000014
TRUE,4,7000015
TRUE,4,7000016
TRUE,4,7000017
TRUE,4,7000018
TRUE,4,7000019
TRUE,4,7000020
TRUE,4,7000021
TRUE,4,7000022
TRUE,4,7000023
TRUE,4,7000024
TRUE,4,7000025
TRUE,4,7000026
TRUE,4,7000027
TRUE,4,7000029
TRUE,4,7000030
TRUE,4,7000033
TRUE,4,7000034
TRUE,4,7000036
TRUE,4,7000037
TRUE,4,7000038
TRUE,4,7000039
TRUE,4,7000041
TRUE,4,7000042
TRUE,4,7000044
TRUE,4,7000045
TRUE,4,7000046
TRUE,4,7000047
TRUE,4,7000048
TRUE,4,7000049
TRUE,4,7000073
TRUE,4,7000074
TRUE,4,7000075
TRUE,4,7000076
TRUE,4,7000077
TRUE,4,7000078
TRUE,4,7000079
TRUE,4,7000080
TRUE,4,7000081
TRUE,4,7000082
TRUE,4,7000083
TRUE,4,7000084
TRUE,4,7000085
TRUE,4,7000086
TRUE,4,7000087
TRUE,4,7000088
TRUE,4,7000089
TRUE,4,7000090
TRUE,4,7000091
TRUE,4,7000092
